Scr_bytes	Dst_host_srv_rerror_rate	label
0	1.0	1
258	0.0	0
54540	0.07	1
276	0.0	0
0	0.0	1
44	0.0	0
234	0.0	0
53	0.0	0
306	0.0	0
0	1.0	1
1480	0.0	1
0	0.68	1
53	0.0	0
57964	0.16	1
1376	0.0	0
44	0.0	0
0	0.7	1
0	1.0	1
0	0.0	1
175	0.0	0
0	0.0	1
0	0.0	1
342	0.0	0
1500	0.0	0
1710	0.0	0
140	0.0	0
0	0.0	1
245	0.0	0
235	0.0	0
353	0.0	0
265	0.0	0
0	1.0	1
0	1.0	1
0	0.0	1
44	0.0	0
328	0.0	0
0	1.0	1
347	0.0	0
0	0.0	1
0	1.0	1
52	0.0	0
268	0.0	0
0	1.0	1
0	1.0	1
46	0.0	0
0	0.0	1
205	0.0	0
0	1.0	1
238	0.0	0
0	0.0	1
256	0.0	0
245	0.0	0
362	0.0	0
54	0.0	0
328	0.0	0
0	1.0	1
163	0.0	0
0	1.0	1
54540	0.01	1
105	0.0	0
53	0.0	0
204	0.0	0
0	1.0	1
0	0.0	1
316	0.0	0
52	0.0	0
373	0.0	0
6932	0.0	0
0	1.0	1
232	0.0	0
0	1.0	1
251	0.0	0
287	0.0	0
1055	0.03	0
286	0.0	0
0	1.0	1
321	0.0	0
1032	0.0	1
0	1.0	1
0	1.0	1
2	0.0	0
0	1.0	1
22	0.0	0
0	1.0	1
223	0.0	0
237	0.0	0
45	0.0	0
0	1.0	1
0	0.59	1
301	0.0	0
44	0.0	0
54540	0.06	1
0	0.01	1
44	0.0	0
0	0.0	1
0	1.0	1
197	0.0	0
242	0.0	0
350	0.0	0
46	0.0	0
52	0.0	0
0	1.0	1
239	0.0	0
207	0.0	0
0	1.0	1
180	0.0	0
339	0.0	0
642	0.04	0
55	0.0	0
341	0.0	0
42	0.0	0
0	1.0	1
54540	0.05	1
105	0.0	0
285	0.0	0
0	1.0	1
0	1.0	1
78202	0.0	0
271	0.0	0
0	0.0	1
0	0.0	1
0	0.01	1
1164	0.0	0
46	0.0	0
0	1.0	1
1107	0.0	0
4539	0.0	0
241	0.01	0
0	0.01	1
223	0.0	0
0	1.0	1
205	0.0	0
310	0.0	0
1032	0.0	1
221	0.0	0
234	0.0	0
56	0.0	0
0	0.0	1
315	0.0	0
0	1.0	1
358	0.0	0
0	1.0	1
220	0.0	0
0	0.08	1
0	0.0	1
245	0.0	0
0	0.0	1
54	0.0	0
268	0.0	0
324	0.0	0
54540	0.04	1
0	1.0	1
1176	0.0	0
0	0.0	1
222	0.0	0
252	0.0	0
0	1.0	1
236	0.0	0
868	0.0	0
0	1.0	0
0	1.0	1
0	1.0	1
221	0.0	0
28	0.0	0
334	0.0	0
239	0.0	0
40008	0.0	0
222	0.0	0
206	0.0	0
286	0.0	0
272	0.0	0
1032	0.0	1
211	0.0	0
0	0.0	0
260	0.0	0
0	0.0	1
21184	0.71	1
0	1.0	1
1	0.0	0
43	0.0	0
218	0.0	0
0	0.01	1
209	0.0	0
0	0.0	1
283	0.0	0
198	0.0	0
0	1.0	1
483	0.0	0
314	0.0	0
317	0.0	0
53	0.0	0
0	1.0	1
54540	0.03	1
315	0.0	0
310	0.0	0
0	1.0	0
54	0.0	0
0	0.01	1
341	0.0	0
356	0.0	0
207	0.0	0
0	0.0	1
0	0.01	1
320	0.01	0
54540	0.01	1
44	0.0	0
304	0.0	0
340	0.0	0
0	1.0	1
0	1.0	1
1	0.0	0
43	0.0	0
0	0.0	1
44	0.0	0
36	0.0	0
0	0.0	1
0	0.01	1
0	1.0	1
54540	0.06	1
1032	0.0	1
272	0.0	0
0	1.0	1
321	0.0	0
0	0.0	0
1032	0.0	1
1008	0.0	1
72564	0.37	1
279	0.0	0
0	1.0	1
0	1.0	1
768	0.0	0
264	0.0	0
13	0.0	0
0	0.0	1
222	0.0	0
1397	0.0	0
0	0.59	1
252	0.0	0
0	1.0	1
241	0.0	0
236	0.0	0
44	0.0	0
247	0.0	0
343	0.0	0
0	1.0	1
293	0.0	0
261	0.0	0
351	0.0	0
4255	0.0	0
0	1.0	1
245	0.0	0
205	0.0	0
0	1.0	1
60884	0.35	1
173	0.0	0
245	0.0	0
54	0.0	0
256	0.0	0
0	1.0	1
193	0.01	0
687	0.0	0
344	0.0	0
238	0.0	0
0	0.0	1
1008	0.0	1
0	0.0	1
237	0.0	0
42	0.0	0
508	0.0	1
1	0.0	0
257	0.0	0
239	0.0	0
220	0.0	0
208	0.0	0
327	0.0	0
1008	0.0	1
225	0.0	0
234	0.0	0
319	0.0	0
1008	0.0	1
334	0.0	0
56504	0.23	1
0	1.0	1
245	0.0	0
0	1.0	1
520	0.0	1
321	0.0	0
56504	0.53	1
1	0.0	0
44	0.0	0
135	0.0	0
0	0.0	1
89	0.0	0
0	0.0	1
209	0.0	0
0	0.25	1
0	1.0	1
271	0.0	0
0	0.0	1
303	0.0	0
520	0.0	1
0	1.0	1
0	1.0	1
0	0.0	1
1620	0.0	0
54540	0.06	1
202	0.0	0
54540	0.0	1
241	0.0	0
0	1.0	1
259	0.0	0
0	1.0	1
0	0.0	1
44	0.0	0
0	1.0	1
0	1.0	1
0	0.06	1
0	1.0	1
211	0.0	0
56504	0.49	1
287	0.0	0
0	0.0	1
0	1.0	1
361	0.0	0
0	1.0	1
56	0.0	0
0	0.3	1
1	0.0	0
0	0.0	1
231	0.0	0
150	0.0	0
0	1.0	1
326	0.0	0
924	0.03	0
303	0.0	0
318	0.0	0
298	0.0	0
268	0.0	0
260	0.0	0
224	0.0	0
225	0.0	0
210	0.0	0
0	1.0	1
0	0.0	1
275	0.0	0
323	0.0	0
61298	0.02	0
1	0.0	0
1631	0.0	0
212	0.0	0
53	0.0	0
0	0.02	1
240	0.0	0
0	0.0	1
32	0.0	0
193	0.0	0
0	0.0	1
508	0.0	1
1480	0.0	1
57184	0.65	1
0	1.0	1
220	0.0	0
298	0.0	0
1032	0.0	1
235	0.0	0
361	0.0	0
243	0.0	0
0	0.0	1
10	0.0	0
0	1.0	1
44	0.0	0
0	1.0	1
115	0.0	0
349	0.0	0
16550	0.01	0
0	0.0	1
211	0.0	0
0	1.0	1
340	0.0	0
273	0.0	0
0	1.0	1
0	0.0	1
36	0.0	0
0	0.0	1
218	0.0	0
1	0.0	0
56	0.0	0
53	0.0	0
215	0.0	0
1480	0.0	1
1032	0.0	1
190	0.0	0
330	0.0	0
331	0.0	0
1032	0.0	1
141	0.0	0
2881	0.0	0
43	0.0	0
30	0.0	0
0	1.0	1
1028	0.0	0
54540	0.02	1
317	0.0	0
218	0.0	0
763	0.01	0
223	0.0	0
292	0.0	0
214	0.0	0
0	1.0	1
1008	0.0	1
55	0.0	0
338	0.0	0
44	0.0	0
54540	0.07	1
302	0.0	0
301	0.0	0
42	0.0	0
0	0.44	1
1663	0.0	0
0	0.01	1
0	1.0	1
44	0.0	0
312	0.0	0
0	0.0	1
43	0.0	0
0	0.7	1
11	0.0	0
294	0.0	0
202	0.0	0
0	1.0	1
0	1.0	1
44	0.0	0
1428	0.01	0
0	1.0	1
0	0.0	1
316	0.0	0
162	0.0	0
250	0.0	0
323	0.0	0
61504	0.56	1
233	0.0	0
1008	0.0	1
0	0.0	0
1684	0.0	0
249	0.0	0
298	0.0	0
287	0.0	0
57964	0.41	1
220	0.0	0
0	1.0	1
235	0.0	0
0	1.0	1
214	0.0	0
0	0.01	1
5929	0.0	0
320	0.0	0
0	0.0	1
0	1.0	1
0	0.0	1
40008	0.0	0
0	0.17	1
218	0.0	0
214	0.0	0
186	0.0	0
219	0.0	0
222	0.0	0
0	1.0	1
0	1.0	1
217	0.0	0
192	0.0	0
240	0.0	0
0	1.0	1
297	0.0	0
234	0.0	0
0	0.0	1
0	1.0	1
208	0.0	0
988	0.0	0
1822	0.0	0
231	0.0	0
0	0.02	1
53	0.0	0
45	0.0	0
0	1.0	1
310	0.0	0
207	0.0	0
0	1.0	1
0	0.12	1
20004	0.41	1
193	0.0	0
216	0.0	0
230	0.0	0
45	0.0	0
59424	0.51	1
42	0.0	0
0	0.62	1
0	1.0	1
0	1.0	1
0	0.0	1
0	1.0	1
54540	0.05	1
0	1.0	1
105	0.0	0
60884	0.14	1
5072	0.0	0
204	0.0	0
55	0.0	0
0	0.2	1
206	0.0	0
0	1.0	1
228	0.0	0
0	1.0	1
44	0.0	0
75904	0.6	1
0	1.0	1
0	0.0	1
212	0.0	0
0	0.0	1
192	0.0	0
222	0.0	0
285	0.0	0
0	0.0	1
0	1.0	1
0	1.0	1
55	0.0	0
0	0.22	1
239	0.0	0
0	0.07	1
1	0.03	1
0	1.0	1
0	1.0	1
293	0.0	0
360	0.0	0
0	1.0	1
256	0.0	0
8873	0.01	0
738	0.0	0
0	1.0	1
0	1.0	1
296	0.0	0
0	1.0	1
294	0.0	0
227	0.0	0
0	1.0	1
200	0.0	0
304	0.0	0
0	1.0	1
10073	0.0	0
0	1.0	1
244	0.0	0
310	0.0	0
224	0.0	0
44	0.0	0
44	0.0	0
192	0.0	0
212	0.0	0
58624	0.72	1
1008	0.0	1
193	0.0	0
59424	0.36	1
50	0.0	0
0	1.0	1
0	0.0	1
235	0.0	0
298	0.0	0
0	1.0	1
0	0.3	1
0	0.0	1
1032	0.0	1
43	0.0	0
105	0.0	0
45	0.0	0
0	0.0	1
209	0.0	0
105	0.0	0
60064	0.54	1
1032	0.0	1
0	0.0	1
340	0.0	0
177	0.0	0
239	0.0	0
0	1.0	1
1008	0.0	1
246	0.0	0
738	0.0	0
0	1.0	1
1032	0.0	1
0	1.0	1
0	1.0	1
325	0.0	0
335	0.0	0
302	0.0	0
508	0.0	1
0	1.0	1
0	1.0	1
0	0.0	1
219	0.0	0
12983	0.0	0
0	0.6	1
343	0.0	0
0	1.0	1
228	0.0	0
1032	0.0	1
3514	0.0	0
54540	0.05	1
0	0.01	1
0	1.0	1
1008	0.0	1
193	0.0	0
194	0.0	0
44	0.0	0
54540	0.02	1
0	1.0	1
44	0.0	0
0	0.0	1
0	1.0	1
0	0.08	1
44	0.0	0
0	1.0	1
0	1.0	1
0	1.0	1
54540	0.05	1
1032	0.0	1
52	0.0	0
29	0.0	0
228	0.0	0
1032	0.0	1
235	0.0	0
298	0.0	0
265	0.0	0
1032	0.0	1
0	1.0	1
46	0.0	0
282	0.0	0
44	0.0	0
337	0.0	0
327	0.0	0
81	0.0	0
213	0.0	0
324	0.0	0
0	0.1	1
1008	0.0	1
325	0.0	0
59424	0.35	1
235	0.0	0
0	1.0	1
0	0.0	1
0	0.0	1
0	1.0	1
54540	0.04	1
164	0.0	0
314	0.0	0
352	0.0	0
44	0.0	0
45	0.0	0
301	0.0	0
0	0.0	1
1032	0.0	1
296	0.0	0
0	0.0	1
0	0.0	1
0	1.0	1
54	0.0	0
361	0.0	0
0	1.0	1
0	1.0	1
306	0.0	0
46	0.0	0
42562	0.0	0
72564	0.2	1
210	0.0	0
307	0.0	0
326	0.0	0
1032	0.0	1
46	0.0	0
262	0.0	0
0	1.0	1
313	0.0	0
276	0.0	0
868	0.0	0
55	0.0	0
237	0.0	0
289	0.0	0
249	0.0	0
333	0.0	0
0	0.14	1
0	1.0	1
0	0.0	1
44	0.0	0
208	0.0	0
224	0.0	0
236	0.0	0
0	0.7	1
62344	0.2	1
53	0.0	0
0	0.0	1
0	1.0	1
1046	0.0	0
105	0.0	0
0	0.0	1
0	0.0	1
146	0.0	0
319	0.0	0
76944	0.4	1
310	0.0	0
293	0.0	0
210	0.0	0
0	0.0	1
53	0.0	0
868	0.0	0
1032	0.0	1
0	1.0	1
5	0.0	0
3190	0.01	0
275	0.0	0
0	0.02	1
0	1.0	1
43	0.0	0
0	1.0	1
348	0.0	0
1008	0.0	1
0	0.03	1
0	0.7	1
0	1.0	1
301	0.0	0
0	1.0	1
54540	0.02	1
228	0.0	0
302	0.01	0
0	0.7	1
0	0.0	1
0	1.0	1
379	0.0	0
169	0.0	0
105	0.0	0
856	0.0	0
0	0.0	1
0	0.02	1
1032	0.0	1
290	0.0	0
0	0.0	1
282	0.0	0
302	0.0	0
40494	0.0	0
0	0.15	1
0	1.0	1
0	1.0	1
205	0.0	0
226	0.0	0
0	1.0	1
1	0.0	0
0	1.0	1
32120	0.07	1
209	0.0	0
219	0.0	0
105	0.0	0
352	0.0	0
0	1.0	1
718	0.0	0
229	0.0	0
1032	0.0	1
296	0.0	0
0	1.0	1
28	0.0	0
288	0.0	0
0	1.0	1
0	0.12	1
0	0.0	1
0	1.0	1
295	0.0	0
207	0.0	0
0	1.0	1
0	0.0	1
245	0.0	0
54540	0.06	1
0	1.0	1
1	0.0	0
287	0.0	0
6	0.0	0
220	0.0	0
54540	0.05	1
0	1.0	1
1008	0.0	1
55	0.0	0
292	0.0	0
212	0.0	0
0	1.0	1
0	0.0	1
168	0.0	0
352	0.0	0
8737	0.0	0
0	1.0	1
254	0.0	0
44224	0.67	1
15827	0.02	0
45	0.0	0
520	0.0	1
0	1.0	1
0	1.0	1
741	0.0	0
304	0.0	0
0	1.0	1
281	0.0	0
383	0.0	0
231	0.0	0
184	0.0	0
301	0.0	0
0	0.06	1
232	0.0	0
52	0.0	0
336	0.0	0
0	1.0	1
289	0.0	0
236	0.0	0
0	1.0	1
0	1.0	1
0	0.0	1
0	1.0	1
1480	0.0	1
358	0.0	0
316	0.0	0
0	1.0	1
324	0.0	0
1008	0.0	1
309	0.0	0
0	0.0	1
0	0.13	1
320	0.0	0
0	1.0	1
0	0.0	1
0	0.01	1
218	0.0	0
0	0.0	1
0	1.0	1
0	0.0	1
46	0.0	0
218	0.0	0
310	0.0	0
45	0.0	0
217	0.0	0
18290	0.0	0
61504	0.64	1
330	0.0	0
0	1.0	1
1032	0.0	1
0	0.0	1
56504	0.4	1
105	0.0	0
162	0.46	0
4753	0.0	0
0	1.0	1
1	0.0	0
247	0.0	0
0	0.01	1
0	1.0	1
0	1.0	1
1	0.0	0
223	0.0	0
0	1.0	1
35	0.05	1
0	1.0	1
0	1.0	1
298	0.0	0
39282	0.0	0
0	1.0	1
245	0.0	0
292	0.0	0
2833	0.0	0
1032	0.0	1
342	0.0	0
9	0.0	0
231	0.0	0
0	0.7	1
0	0.0	1
45	0.0	0
270	0.0	0
0	1.0	1
251	0.0	0
105	0.0	0
330	0.0	0
0	0.0	1
253	0.0	0
223	0.0	0
0	1.0	1
274	0.0	0
0	1.0	1
0	1.0	1
40008	0.0	0
0	1.0	1
0	1.0	1
277	0.0	0
0	1.0	1
0	1.0	1
1008	0.0	1
0	0.01	1
218	0.0	0
188	0.0	0
3909	0.0	0
123	0.0	0
189	0.0	0
314	0.0	0
296	0.0	0
307	0.0	0
0	0.0	1
224	0.0	0
45	0.0	0
44	0.0	0
0	0.19	1
240	0.0	0
43	0.0	0
0	0.0	1
15876	0.0	0
0	0.01	1
292	0.0	0
324	0.0	0
262	0.0	0
241	0.0	0
0	0.59	1
0	1.0	1
0	1.0	1
44	0.0	0
236	0.0	0
325	0.0	0
294812	0.0	0
0	1.0	1
54540	0.04	1
251	0.0	0
0	0.0	1
200	0.0	0
0	0.0	1
269	0.0	0
55	0.0	0
0	0.0	1
0	0.0	1
0	1.0	1
321	0.0	0
0	1.0	1
0	0.0	1
295	0.0	0
44	0.0	0
237	0.0	0
0	1.0	1
44	0.0	0
185	0.0	0
304	0.0	0
331	0.0	0
0	1.0	1
293	0.0	0
0	1.0	1
0	1.0	1
221	0.0	0
14241	0.0	0
226	0.0	0
0	1.0	1
105	0.0	0
0	0.13	1
22	0.0	0
907	0.0	0
0	1.0	1
220	0.0	0
55	0.0	0
72564	0.1	1
1032	0.0	1
54	0.0	0
209	0.0	0
0	0.0	1
221	0.0	0
0	1.0	1
340	0.0	0
54	0.0	0
234	0.0	0
508	0.0	1
231	0.0	0
220	0.0	0
300	0.0	0
233	0.0	0
1032	0.0	1
287	0.0	0
5959	0.01	0
206	0.0	0
372	0.0	0
228	0.0	0
1292	0.0	0
0	0.0	1
1	0.0	0
190	0.0	0
0	0.0	1
0	1.0	1
0	1.0	1
303	0.0	0
234	0.0	0
54540	0.0	1
207	0.0	0
323	0.0	0
0	1.0	1
0	1.0	1
218	0.0	0
36	0.0	0
322	0.0	0
234	0.0	0
219	0.0	0
325	0.0	0
192	0.0	0
234	0.0	0
53	0.0	0
1032	0.0	1
892	0.0	0
327	0.0	0
37024	0.58	1
274	0.0	0
283	0.0	0
0	1.0	1
226	0.0	0
6	0.0	0
240	0.0	0
270	0.0	0
273	0.0	0
280	0.0	0
242	0.0	0
0	0.0	1
193	0.0	0
1798	0.88	0
0	1.0	1
171	0.0	0
0	0.01	1
210	0.0	0
192	0.0	0
257	0.0	0
299	0.0	0
0	0.0	1
267	0.0	0
0	1.0	1
303	0.0	0
0	1.0	1
0	1.0	1
0	1.0	1
1008	0.0	1
45	0.0	0
328	0.0	0
43	0.0	0
0	1.0	1
308	0.0	0
0	1.0	1
195	0.0	0
0	1.0	1
208	0.0	0
300	0.0	0
54	0.0	0
1008	0.0	1
0	1.0	1
0	1.0	1
0	1.0	1
0	1.0	1
320	0.0	0
1008	0.0	1
868	0.0	0
0	1.0	1
0	0.82	1
0	0.0	1
0	1.0	1
200	0.0	0
214	0.0	0
0	0.0	1
307	0.0	0
286	0.0	0
298	0.0	0
43	0.0	0
0	1.0	1
222	0.0	0
218	0.0	0
0	0.13	1
0	0.01	1
0	0.0	1
200	0.0	0
1008	0.0	1
222	0.0	0
0	0.0	1
223	0.0	0
0	0.0	1
54	0.0	0
36	0.0	0
286	0.0	0
1	0.0	0
0	0.0	1
304	0.0	0
233	0.0	0
0	0.0	1
278	0.0	0
45	0.0	0
284	0.0	0
304	0.0	0
7	0.0	0
278	0.0	0
345	0.0	0
0	1.0	1
0	0.03	0
220	0.0	0
307	0.0	0
311	0.0	0
0	0.0	1
289	0.0	0
282	0.0	0
243	0.0	0
236	0.0	0
257	0.0	0
0	1.0	1
0	0.0	1
317	0.0	0
192	0.0	0
304	0.0	0
0	1.0	1
190	0.0	0
43	0.0	0
207	0.0	0
325	0.0	0
292	0.0	0
300	0.0	0
267	0.0	0
253	0.0	0
184	0.0	0
0	1.0	1
231	0.0	0
294	0.0	0
0	1.0	1
1008	0.0	1
0	0.0	1
0	1.0	1
321	0.0	0
1093	0.0	0
215	0.0	0
339	0.0	0
192	0.0	0
228	0.0	0
0	0.0	1
227	0.0	0
0	0.0	1
564	0.0	1
340	0.0	0
0	0.0	0
0	0.0	1
0	1.0	1
44	0.0	0
44	0.0	0
189	0.0	0
1281	0.0	0
105	0.0	0
223	0.0	0
240	0.0	0
44	0.0	0
44	0.0	0
0	1.0	1
293	0.0	0
357	0.0	0
14	0.0	0
55044	0.27	1
1008	0.0	1
1069	0.0	0
0	1.0	1
54	0.0	0
226	0.0	0
72564	0.11	1
0	1.0	1
0	1.0	1
328	0.0	0
0	1.0	1
44	0.0	0
105	0.0	0
1032	0.0	1
348	0.0	0
0	0.0	1
0	1.0	1
286	0.0	0
210	0.0	0
72564	0.15	1
161	0.0	0
1008	0.0	1
0	1.0	1
327	0.0	0
328	0.0	0
0	1.0	1
223	0.0	0
1032	0.0	1
0	0.0	1
36	0.0	0
307	0.0	0
0	0.0	1
261	0.0	0
6601	0.0	0
328	0.0	0
221	0.0	0
263	0.0	0
577	0.0	0
0	0.11	1
0	1.0	1
0	1.0	0
263	0.0	0
0	1.0	1
248	0.0	0
0	0.16	1
0	1.0	1
0	1.0	1
2138	0.0	0
105	0.0	0
615	0.0	0
251	0.0	0
0	1.0	1
0	0.01	1
223	0.0	0
1103	0.0	0
0	0.04	1
1676	0.0	0
161	0.0	0
8737	0.0	0
262	0.0	0
0	1.0	1
225	0.0	0
310	0.0	0
0	1.0	1
0	0.0	1
0	1.0	1
0	0.0	1
0	1.0	1
253	0.0	0
1032	0.0	1
46	0.0	0
0	0.0	1
281	0.0	0
266	0.0	0
0	0.0	1
222	0.0	0
307	0.0	0
307	0.0	0
207	0.0	0
0	0.0	1
51100	0.07	1
359	0.0	0
33580	0.05	1
209	0.0	0
249	0.0	0
0	1.0	1
291	0.0	0
284	0.0	0
0	1.0	1
320	0.0	0
167	0.0	0
284	0.0	0
1008	0.0	1
327	0.0	0
0	0.0	1
0	1.0	1
0	1.0	1
209	0.0	0
0	0.0	1
0	0.0	1
1032	0.0	1
0	0.0	1
0	0.0	1
171	0.0	0
294	0.0	0
227	0.0	0
289	0.0	0
0	0.0	1
233	0.0	0
222	0.0	0
303	0.0	0
230	0.0	0
0	1.0	1
105	0.0	0
0	0.58	1
0	0.0	1
287	0.0	0
0	0.0	1
0	0.0	1
292	0.0	0
0	1.0	1
4734	0.0	0
44	0.0	0
316	0.0	0
233	0.0	0
0	1.0	1
0	0.0	1
105	0.0	0
330	0.0	0
205	0.0	0
55	0.0	0
0	1.0	1
0	0.0	1
54540	0.0	1
55744	0.69	1
0	1.0	1
72564	0.19	1
1032	0.0	1
0	1.0	1
0	1.0	1
0	1.0	1
244	0.0	0
329	0.0	0
230	0.0	0
202	0.0	0
213	0.0	0
231	0.0	0
223	0.0	0
0	0.0	1
0	0.47	1
0	1.0	1
1	0.0	0
266	0.0	0
298	0.0	0
0	0.7	1
90	0.0	0
356	0.0	0
0	1.0	1
291	0.0	0
1008	0.0	1
1032	0.0	1
54540	0.06	1
44	0.0	0
0	1.0	1
1480	0.0	0
0	1.0	1
0	1.0	1
335	0.0	0
181	0.0	0
0	0.65	1
56504	0.37	1
226	0.0	0
0	0.0	1
0	0.0	1
223	0.0	0
9	0.0	0
320	0.0	0
215	0.0	0
311	0.0	0
1032	0.0	1
54540	0.07	1
233	0.0	0
0	0.0	1
1523	0.0	0
78404	0.43	1
0	1.0	1
0	1.0	1
44	0.0	0
206	0.0	0
0	0.89	1
10	0.0	0
0	1.0	1
0	1.0	1
3650	0.0	0
0	0.0	1
0	0.0	1
45	0.0	0
221	0.0	0
46	0.0	0
44	0.0	0
3886954	0.0	0
278	0.0	0
0	0.0	1
161	0.0	0
54540	0.04	1
0	1.0	1
210	0.0	0
0	1.0	1
219	0.0	0
0	0.59	1
0	1.0	1
231	0.0	0
0	0.07	1
189	0.0	0
0	1.0	1
396	0.0	0
0	1.0	1
195	0.0	0
74024	0.11	1
1008	0.0	1
54540	0.06	1
56	0.0	0
36	0.0	0
0	0.0	1
0	0.0	1
356	0.0	0
220	0.0	0
0	0.1	1
165	0.0	0
204	0.0	0
0	0.0	1
310	0.0	0
0	1.0	1
0	0.11	1
290	0.0	0
0	1.0	1
325	0.0	0
226	0.0	0
228	0.0	0
45	0.0	0
40008	0.0	0
291	0.0	0
7	0.0	0
0	1.0	1
52	0.0	0
323	0.0	0
1288	0.0	0
213	0.0	0
168	0.0	0
0	0.23	1
54	0.0	0
0	1.0	1
160	0.0	0
0	1.0	1
234	0.0	0
326	0.0	0
46	0.0	0
54	0.0	0
227	0.0	0
238	0.0	0
298	0.0	0
1032	0.0	1
42	0.0	0
259	0.0	0
44	0.0	0
209	0.0	0
263	0.0	0
0	0.0	1
0	1.0	1
0	0.0	1
0	0.02	0
319	0.0	0
0	1.0	1
252	0.0	0
52	0.0	0
105	0.0	0
0	1.0	1
2254	0.0	0
0	1.0	1
215	0.0	0
0	1.0	1
0	0.0	1
190	0.0	0
0	1.0	1
0	0.0	1
301	0.0	0
0	0.46	1
0	1.0	1
0	0.0	1
317	0.0	0
221	0.0	0
0	1.0	1
208	0.0	0
226	0.0	0
1008	0.0	1
105	0.0	0
232	0.0	0
0	0.6	1
240	0.0	0
221	0.0	0
0	0.0	1
33	0.0	0
0	1.0	1
0	0.0	1
36	0.0	0
54	0.0	0
0	1.0	1
1032	0.0	1
0	1.0	1
355	0.0	0
308	0.0	0
395	0.0	0
0	1.0	1
0	1.0	1
0	1.0	1
316	0.0	0
0	0.0	1
153	0.0	0
207	0.0	0
0	1.0	1
206	0.0	0
0	1.0	1
0	0.0	1
151	0.0	0
1	0.0	0
241	0.0	0
1179	0.0	0
0	1.0	1
205	0.0	0
0	1.0	1
105	0.0	0
0	1.0	1
0	0.01	1
162	0.0	0
0	1.0	1
233	0.0	0
1032	0.0	1
508	0.0	1
42	0.0	0
306	0.0	0
300	0.0	0
235	0.0	0
324	0.0	0
42	0.0	0
508	0.0	1
1143	0.0	0
294	0.0	0
294	0.0	0
199	0.0	0
0	1.0	1
225	0.0	0
0	1.0	1
1008	0.0	1
192	0.0	0
247	0.0	0
280	0.0	0
0	0.0	1
0	1.0	1
0	1.0	1
306	0.0	0
0	1.0	1
0	1.0	1
0	1.0	1
0	0.0	1
198	0.0	0
0	1.0	1
245	0.0	0
0	1.0	1
0	1.0	1
2776	0.0	0
1032	0.0	1
0	1.0	0
248	0.0	0
508	0.0	1
0	1.0	1
1032	0.0	1
0	1.0	1
285	0.0	0
0	0.0	1
245	0.0	0
0	1.0	1
0	0.7	1
215	0.0	0
0	1.0	1
45	0.0	0
